County,State,County FIPS Code,Opioid Dispensing Rate per 100,Year
SEQUATCHIE,TN,47153,125.1,2018
SEVIER,TN,47155,85.8,2018
SHELBY,TN,47157,54.7,2018
SMITH,TN,47159,95.4,2018
STEWART,TN,47161,49.3,2018
SULLIVAN,TN,47163,125.1,2018
SUMNER,TN,47165,70.2,2018
TIPTON,TN,47167,86.7,2018
TROUSDALE,TN,47169,111.3,2018
UNICOI,TN,47171,120.0,2018
UNION,TN,47173,61.2,2018
VAN BUREN,TN,47175,0.1,2018
WARREN,TN,47177,117.9,2018
WASHINGTON,TN,47179,84.1,2018
WAYNE,TN,47181,117.1,2018
WEAKLEY,TN,47183,105.9,2018
WHITE,TN,47185,101.4,2018
WILLIAMSON,TN,47187,44.4,2018
WILSON,TN,47189,69.3,2018
ANDERSON,TX,48001,54.3,2018
ANDREWS,TX,48003,48.7,2018
ANGELINA,TX,48005,80.7,2018
ARANSAS,TX,48007,74.8,2018
ATASCOSA,TX,48013,76.4,2018
AUSTIN,TX,48015,45.1,2018
BAILEY,TX,48017,65.5,2018
BANDERA,TX,48019,34.7,2018
BASTROP,TX,48021,63.1,2018
BAYLOR,TX,48023,60.1,2018
BEE,TX,48025,58.1,2018
BELL,TX,48027,42.6,2018
BEXAR,TX,48029,44.1,2018
BLANCO,TX,48031,13.7,2018
BOSQUE,TX,48035,34.3,2018
BOWIE,TX,48037,101.2,2018
BRAZORIA,TX,48039,52.9,2018
BRAZOS,TX,48041,42.2,2018
BREWSTER,TX,48043,64.1,2018
BROOKS,TX,48047,52.8,2018
BROWN,TX,48049,110.3,2018
BURLESON,TX,48051,45.4,2018
BURNET,TX,48053,71.0,2018
CALDWELL,TX,48055,38.2,2018
CALHOUN,TX,48057,88.8,2018
CALLAHAN,TX,48059,19.7,2018
CAMERON,TX,48061,22.6,2018
CAMP,TX,48063,52.9,2018
CARSON,TX,48065,0.1,2018
CASS,TX,48067,69.4,2018
CHAMBERS,TX,48071,29.8,2018
CHEROKEE,TX,48073,58.5,2018
CHILDRESS,TX,48075,129.0,2018
COLEMAN,TX,48083,62.7,2018
COLLIN,TX,48085,45.4,2018
COLORADO,TX,48089,39.5,2018
COMAL,TX,48091,62.0,2018
COMANCHE,TX,48093,67.9,2018
COOKE,TX,48097,76.3,2018
CORYELL,TX,48099,54.1,2018
CRANE,TX,48103,66.9,2018
CROCKETT,TX,48105,41.8,2018
CROSBY,TX,48107,0.0,2018
DALLAM,TX,48111,56.4,2018
DALLAS,TX,48113,40.3,2018
DAWSON,TX,48115,53.2,2018
DE WITT,TX,48123,42.9,2018
DEAF SMITH,TX,48117,31.0,2018
DENTON,TX,48121,47.9,2018
DIMMIT,TX,48127,74.3,2018
DONLEY,TX,48129,0.1,2018
DUVAL,TX,48131,4.2,2018
EASTLAND,TX,48133,70.3,2018
ECTOR,TX,48135,61.6,2018
EL PASO,TX,48141,30.6,2018
ELLIS,TX,48139,58.4,2018
ERATH,TX,48143,62.0,2018
FALLS,TX,48145,50.1,2018
FANNIN,TX,48147,49.8,2018
FAYETTE,TX,48149,56.0,2018
FISHER,TX,48151,0.1,2018
FOARD,TX,48155,30.9,2018
FORT BEND,TX,48157,32.1,2018
FRANKLIN,TX,48159,59.7,2018
FREESTONE,TX,48161,30.9,2018
FRIO,TX,48163,35.9,2018
GAINES,TX,48165,39.7,2018
GALVESTON,TX,48167,64.6,2018
GILLESPIE,TX,48171,68.8,2018
GOLIAD,TX,48175,18.1,2018
GONZALES,TX,48177,47.8,2018
GRAY,TX,48179,87.7,2018
GRAYSON,TX,48181,85.5,2018
GREGG,TX,48183,120.6,2018
GRIMES,TX,48185,20.8,2018
GUADALUPE,TX,48187,41.9,2018
HALE,TX,48189,56.0,2018
HAMILTON,TX,48193,41.1,2018
HARDEMAN,TX,48197,79.4,2018
HARDIN,TX,48199,86.3,2018
HARRIS,TX,48201,37.9,2018
HARRISON,TX,48203,60.3,2018
HAYS,TX,48209,46.1,2018
HENDERSON,TX,48213,69.2,2018
HIDALGO,TX,48215,22.7,2018
HILL,TX,48217,54.3,2018
HOCKLEY,TX,48219,67.6,2018
HOOD,TX,48221,99.8,2018
HOPKINS,TX,48223,77.0,2018
HOUSTON,TX,48225,40.9,2018
HOWARD,TX,48227,59.5,2018
HUNT,TX,48231,73.2,2018
HUTCHINSON,TX,48233,67.4,2018
JACK,TX,48237,0.0,2018
JACKSON,TX,48239,18.7,2018
JASPER,TX,48241,49.7,2018
JEFFERSON,TX,48245,71.0,2018
JIM HOGG,TX,48247,19.2,2018
JIM WELLS,TX,48249,72.4,2018
JOHNSON,TX,48251,76.1,2018
JONES,TX,48253,24.8,2018
KARNES,TX,48255,43.6,2018
KAUFMAN,TX,48257,65.5,2018
KENDALL,TX,48259,53.4,2018
KERR,TX,48265,74.8,2018
KIMBLE,TX,48267,50.4,2018
KINNEY,TX,48271,18.3,2018
KLEBERG,TX,48273,56.7,2018
LAMAR,TX,48277,129.5,2018
LAMB,TX,48279,0.0,2018
LAMPASAS,TX,48281,51.6,2018
LAVACA,TX,48285,46.4,2018
LEE,TX,48287,39.7,2018
LEON,TX,48289,36.1,2018
LIBERTY,TX,48291,76.2,2018
LIMESTONE,TX,48293,90.2,2018
LIVE OAK,TX,48297,10.3,2018
LLANO,TX,48299,52.9,2018
LUBBOCK,TX,48303,70.1,2018
LYNN,TX,48305,0.0,2018
MADISON,TX,48313,63.0,2018
MARION,TX,48315,0.0,2018
MARTIN,TX,48317,33.8,2018
MASON,TX,48319,41.7,2018
MATAGORDA,TX,48321,60.6,2018
MAVERICK,TX,48323,25.1,2018
MCCULLOCH,TX,48307,38.3,2018
MCLENNAN,TX,48309,63.2,2018
MEDINA,TX,48325,36.4,2018
MIDLAND,TX,48329,47.1,2018
MILAM,TX,48331,54.8,2018
MITCHELL,TX,48335,46.3,2018
MONTAGUE,TX,48337,68.5,2018
MONTGOMERY,TX,48339,50.6,2018
MOORE,TX,48341,51.8,2018
MORRIS,TX,48343,73.9,2018
NACOGDOCHES,TX,48347,73.2,2018
NAVARRO,TX,48349,61.2,2018
NEWTON,TX,48351,20.5,2018
NOLAN,TX,48353,65.7,2018
NUECES,TX,48355,64.0,2018
OCHILTREE,TX,48357,48.9,2018
ORANGE,TX,48361,88.6,2018
PALO PINTO,TX,48363,86.8,2018
PANOLA,TX,48365,72.1,2018
PARKER,TX,48367,57.9,2018
PARMER,TX,48369,0.0,2018
PECOS,TX,48371,33.5,2018
POLK,TX,48373,84.3,2018
POTTER,TX,48375,65.1,2018
PRESIDIO,TX,48377,6.3,2018
RAINS,TX,48379,54.3,2018
RANDALL,TX,48381,62.7,2018
REAGAN,TX,48383,21.0,2018
RED RIVER,TX,48387,55.1,2018
REEVES,TX,48389,54.6,2018
REFUGIO,TX,48391,0.0,2018
ROBERTSON,TX,48395,21.7,2018
ROCKWALL,TX,48397,63.3,2018
RUNNELS,TX,48399,58.5,2018
RUSK,TX,48401,43.2,2018
SABINE,TX,48403,33.9,2018
SAN AUGUSTINE,TX,48405,65.8,2018
SAN JACINTO,TX,48407,20.0,2018
SAN PATRICIO,TX,48409,71.5,2018
SAN SABA,TX,48411,0.6,2018
SCURRY,TX,48415,73.0,2018
SHELBY,TX,48419,58.4,2018
SMITH,TX,48423,73.2,2018
SOMERVELL,TX,48425,0.0,2018
STARR,TX,48427,29.3,2018
STEPHENS,TX,48429,83.1,2018
SUTTON,TX,48435,0.1,2018
TARRANT,TX,48439,53.7,2018
TAYLOR,TX,48441,89.0,2018
TERRY,TX,48445,69.0,2018
TITUS,TX,48449,69.7,2018
TOM GREEN,TX,48451,66.3,2018
TRAVIS,TX,48453,39.5,2018
TRINITY,TX,48455,43.4,2018
TYLER,TX,48457,48.6,2018
UPSHUR,TX,48459,17.0,2018
UPTON,TX,48461,0.1,2018
UVALDE,TX,48463,63.1,2018
VAL VERDE,TX,48465,32.5,2018
VAN ZANDT,TX,48467,64.3,2018
VICTORIA,TX,48469,84.5,2018
WALKER,TX,48471,55.0,2018
WALLER,TX,48473,9.8,2018
WARD,TX,48475,46.3,2018
WASHINGTON,TX,48477,65.1,2018
WEBB,TX,48479,21.3,2018
WHARTON,TX,48481,57.1,2018
WHEELER,TX,48483,20.0,2018
WICHITA,TX,48485,89.6,2018
WILBARGER,TX,48487,122.0,2018
WILLACY,TX,48489,31.8,2018
WILLIAMSON,TX,48491,50.5,2018
WILSON,TX,48493,50.7,2018
WINKLER,TX,48495,44.1,2018
WISE,TX,48497,57.1,2018
WOOD,TX,48499,81.1,2018
YOAKUM,TX,48501,0.1,2018
YOUNG,TX,48503,88.9,2018
ZAPATA,TX,48505,17.7,2018
ZAVALA,TX,48507,0.0,2018
BEAVER,UT,49001,75.7,2018
BOX ELDER,UT,49003,66.6,2018
CACHE,UT,49005,44.6,2018
CARBON,UT,49007,147.2,2018
DAVIS,UT,49011,57.0,2018
DUCHESNE,UT,49013,56.9,2018
EMERY,UT,49015,78.3,2018
GARFIELD,UT,49017,70.2,2018
GRAND,UT,49019,73.3,2018
IRON,UT,49021,81.2,2018
JUAB,UT,49023,71.3,2018
KANE,UT,49025,93.2,2018
MILLARD,UT,49027,55.6,2018
MORGAN,UT,49029,32.8,2018
RICH,UT,49033,28.1,2018
SALT LAKE,UT,49035,55.6,2018
SAN JUAN,UT,49037,14.2,2018
SANPETE,UT,49039,78.0,2018
SEVIER,UT,49041,99.8,2018
SUMMIT,UT,49043,44.6,2018
TOOELE,UT,49045,52.8,2018
UINTAH,UT,49047,51.4,2018
UTAH,UT,49049,47.4,2018
WASATCH,UT,49051,51.2,2018
WASHINGTON,UT,49053,72.8,2018
WEBER,UT,49057,69.8,2018
ACCOMACK,VA,51001,33.9,2018
ALBEMARLE,VA,51003,40.3,2018
ALEXANDRIA CITY,VA,51510,24.1,2018
ALLEGHANY,VA,51005,66.3,2018
AMELIA,VA,51007,29.8,2018
AMHERST,VA,51009,56.8,2018
APPOMATTOX,VA,51011,86.0,2018
ARLINGTON,VA,51013,18.1,2018
AUGUSTA,VA,51015,11.9,2018
BEDFORD,VA,51019,32.8,2018
BLAND,VA,51021,42.9,2018
BOTETOURT,VA,51023,31.5,2018
BRISTOL CITY,VA,51520,148.2,2018
BRUNSWICK,VA,51025,12.6,2018
BUCHANAN,VA,51027,113.6,2018
BUCKINGHAM,VA,51029,0.0,2018
BUENA VISTA CITY,VA,51530,78.8,2018
CAMPBELL,VA,51031,28.2,2018
CAROLINE,VA,51033,28.7,2018
CARROLL,VA,51035,33.0,2018
CHARLOTTE,VA,51037,26.2,2018
CHARLOTTESVILLE CITY,VA,51540,35.3,2018
CHESAPEAKE CITY,VA,51550,48.1,2018
CHESTERFIELD,VA,51041,45.6,2018
CLARKE,VA,51043,24.0,2018
COLONIAL HEIGHTS CITY,VA,51570,145.5,2018
COVINGTON CITY,VA,51580,177.8,2018
CRAIG,VA,51045,0.0,2018
CULPEPER,VA,51047,46.5,2018
CUMBERLAND,VA,51049,18.2,2018
DANVILLE CITY,VA,51590,134.4,2018
DICKENSON,VA,51051,131.5,2018
DINWIDDIE,VA,51053,0.7,2018
EMPORIA CITY,VA,51595,183.4,2018
ESSEX,VA,51057,69.2,2018
FAIRFAX,VA,51059,21.8,2018
FAIRFAX CITY,VA,51600,62.4,2018
FALLS CHURCH CITY,VA,51610,42.6,2018
FAUQUIER,VA,51061,51.1,2018
FLOYD,VA,51063,27.7,2018
FLUVANNA,VA,51065,24.4,2018
FRANKLIN,VA,51067,59.6,2018
FRANKLIN CITY,VA,51620,204.6,2018
FREDERICK,VA,51069,43.9,2018
FREDERICKSBURG CITY,VA,51630,106.0,2018
GALAX CITY,VA,51640,301.3,2018
GILES,VA,51071,84.9,2018
GLOUCESTER,VA,51073,71.9,2018
GOOCHLAND,VA,51075,1.3,2018
GRAYSON,VA,51077,17.3,2018
GREENE,VA,51079,54.2,2018
HALIFAX,VA,51083,57.5,2018
HAMPTON CITY,VA,51650,49.7,2018
HANOVER,VA,51085,57.9,2018
HARRISONBURG CITY,VA,51660,87.7,2018
HENRICO,VA,51087,46.1,2018
HENRY,VA,51089,54.2,2018
HOPEWELL CITY,VA,51670,136.4,2018
ISLE OF WIGHT,VA,51093,56.4,2018
JAMES CITY,VA,51095,69.7,2018
KING GEORGE,VA,51099,39.8,2018
KING WILLIAM,VA,51101,22.8,2018
LANCASTER,VA,51103,98.7,2018
LEE,VA,51105,112.5,2018
LEXINGTON CITY,VA,51678,191.3,2018
LOUDOUN,VA,51107,27.2,2018
LOUISA,VA,51109,35.3,2018
LUNENBURG,VA,51111,0.0,2018
LYNCHBURG CITY,VA,51680,79.1,2018
MANASSAS CITY,VA,51683,79.1,2018
MARTINSVILLE CITY,VA,51690,293.5,2018
MATHEWS,VA,51115,45.9,2018
MECKLENBURG,VA,51117,69.2,2018
MIDDLESEX,VA,51119,0.1,2018
MONTGOMERY,VA,51121,46.1,2018
NELSON,VA,51125,14.4,2018
NEW KENT,VA,51127,35.7,2018
NEWPORT NEWS CITY,VA,51700,40.7,2018
NORFOLK CITY,VA,51710,43.9,2018
NORTHAMPTON,VA,51131,92.4,2018
NORTHUMBERLAND,VA,51133,19.0,2018
NORTON CITY,VA,51720,311.3,2018
NOTTOWAY,VA,51135,52.4,2018
ORANGE,VA,51137,61.8,2018
PAGE,VA,51139,68.5,2018
PATRICK,VA,51141,48.1,2018
PETERSBURG CITY,VA,51730,104.9,2018
PITTSYLVANIA,VA,51143,13.7,2018
POQUOSON CITY,VA,51735,62.6,2018
PORTSMOUTH CITY,VA,51740,69.8,2018
POWHATAN,VA,51145,37.9,2018
PRINCE EDWARD,VA,51147,72.2,2018
PRINCE WILLIAM,VA,51153,28.3,2018
PULASKI,VA,51155,97.3,2018
RADFORD CITY,VA,51750,70.5,2018
RICHMOND,VA,51159,29.5,2018
RICHMOND CITY,VA,51760,32.1,2018
ROANOKE,VA,51161,67.3,2018
ROANOKE CITY,VA,51770,70.6,2018
ROCKBRIDGE,VA,51163,2.8,2018
ROCKINGHAM,VA,51165,21.2,2018
RUSSELL,VA,51167,90.5,2018
SALEM CITY,VA,51775,156.7,2018
SCOTT,VA,51169,123.2,2018
SHENANDOAH,VA,51171,42.2,2018
SMYTH,VA,51173,83.9,2018
SPOTSYLVANIA,VA,51177,48.0,2018
STAFFORD,VA,51179,36.4,2018
STAUNTON CITY,VA,51790,120.9,2018
SUFFOLK CITY,VA,51800,64.2,2018
SUSSEX,VA,51183,10.2,2018
TAZEWELL,VA,51185,132.2,2018
VIRGINIA BEACH CITY,VA,51810,45.3,2018
WARREN,VA,51187,65.0,2018
WASHINGTON,VA,51191,74.4,2018
WAYNESBORO CITY,VA,51820,138.0,2018
WESTMORELAND,VA,51193,29.8,2018
WINCHESTER CITY,VA,51840,123.4,2018
WISE,VA,51195,140.9,2018
WYTHE,VA,51197,78.8,2018
YORK,VA,51199,35.2,2018
ADDISON,VT,50001,36.8,2018
BENNINGTON,VT,50003,52.4,2018
CALEDONIA,VT,50005,45.1,2018
CHITTENDEN,VT,50007,35.2,2018
FRANKLIN,VT,50011,68.8,2018
GRAND ISLE,VT,50013,12.9,2018
LAMOILLE,VT,50015,50.7,2018
ORANGE,VT,50017,24.9,2018
ORLEANS,VT,50019,53.8,2018
RUTLAND,VT,50021,52.2,2018
WASHINGTON,VT,50023,44.8,2018
WINDHAM,VT,50025,50.5,2018
WINDSOR,VT,50027,25.7,2018
ADAMS,WA,53001,21.7,2018
ASOTIN,WA,53003,122.9,2018
BENTON,WA,53005,73.8,2018
CHELAN,WA,53007,61.5,2018
CLALLAM,WA,53009,83.4,2018
CLARK,WA,53011,46.7,2018
COLUMBIA,WA,53013,97.7,2018
COWLITZ,WA,53015,65.4,2018
DOUGLAS,WA,53017,52.3,2018
FERRY,WA,53019,55.9,2018
FRANKLIN,WA,53021,46.4,2018
GARFIELD,WA,53023,100.1,2018
GRANT,WA,53025,55.6,2018
GRAYS HARBOR,WA,53027,79.0,2018
ISLAND,WA,53029,36.2,2018
JEFFERSON,WA,53031,70.0,2018
KING,WA,53033,35.8,2018
KITSAP,WA,53035,48.4,2018
KITTITAS,WA,53037,37.7,2018
KLICKITAT,WA,53039,22.0,2018
LEWIS,WA,53041,70.1,2018
LINCOLN,WA,53043,68.1,2018
MASON,WA,53045,66.8,2018
OKANOGAN,WA,53047,52.4,2018
PACIFIC,WA,53049,25.5,2018
PEND OREILLE,WA,53051,87.4,2018
PIERCE,WA,53053,49.8,2018
SAN JUAN,WA,53055,52.2,2018
SKAGIT,WA,53057,66.0,2018
SKAMANIA,WA,53059,0.0,2018
SNOHOMISH,WA,53061,51.7,2018
SPOKANE,WA,53063,68.5,2018
STEVENS,WA,53065,63.1,2018
THURSTON,WA,53067,47.6,2018
WALLA WALLA,WA,53071,62.7,2018
WHATCOM,WA,53073,55.5,2018
WHITMAN,WA,53075,41.2,2018
YAKIMA,WA,53077,50.3,2018
ADAMS,WI,55001,29.5,2018
ASHLAND,WI,55003,71.8,2018
BARRON,WI,55005,54.8,2018
BROWN,WI,55009,49.0,2018
BUFFALO,WI,55011,0.0,2018
BURNETT,WI,55013,58.8,2018
CALUMET,WI,55015,16.8,2018
CHIPPEWA,WI,55017,43.8,2018
CLARK,WI,55019,25.3,2018
COLUMBIA,WI,55021,69.4,2018
CRAWFORD,WI,55023,58.9,2018
DANE,WI,55025,37.9,2018
DODGE,WI,55027,33.7,2018
DOOR,WI,55029,52.7,2018
DOUGLAS,WI,55031,42.0,2018
DUNN,WI,55033,29.2,2018
EAU CLAIRE,WI,55035,43.4,2018
FOND DU LAC,WI,55039,43.0,2018
FOREST,WI,55041,38.5,2018
GRANT,WI,55043,37.5,2018
GREEN,WI,55045,43.1,2018
GREEN LAKE,WI,55047,46.6,2018
IOWA,WI,55049,35.4,2018
IRON,WI,55051,70.1,2018
JACKSON,WI,55053,17.3,2018
JEFFERSON,WI,55055,47.8,2018
JUNEAU,WI,55057,82.3,2018
KENOSHA,WI,55059,47.3,2018
KEWAUNEE,WI,55061,14.7,2018
LA CROSSE,WI,55063,50.2,2018
LAFAYETTE,WI,55065,4.8,2018
LANGLADE,WI,55067,72.0,2018
LINCOLN,WI,55069,56.8,2018
MANITOWOC,WI,55071,46.9,2018
MARATHON,WI,55073,39.2,2018
MARINETTE,WI,55075,60.3,2018
MARQUETTE,WI,55077,22.8,2018
MILWAUKEE,WI,55079,53.4,2018
MONROE,WI,55081,51.3,2018
OCONTO,WI,55083,25.1,2018
ONEIDA,WI,55085,61.9,2018
OUTAGAMIE,WI,55087,45.6,2018
OZAUKEE,WI,55089,46.5,2018
PEPIN,WI,55091,46.8,2018
PIERCE,WI,55093,24.5,2018
POLK,WI,55095,49.5,2018
PORTAGE,WI,55097,40.5,2018
PRICE,WI,55099,47.4,2018
RACINE,WI,55101,54.9,2018
RICHLAND,WI,55103,34.7,2018
ROCK,WI,55105,55.9,2018
RUSK,WI,55107,23.2,2018
SAINT CROIX,WI,55109,28.4,2018
SAUK,WI,55111,49.4,2018
SAWYER,WI,55113,72.9,2018
SHAWANO,WI,55115,34.2,2018
SHEBOYGAN,WI,55117,43.9,2018
TAYLOR,WI,55119,14.4,2018
TREMPEALEAU,WI,55121,10.2,2018
VERNON,WI,55123,34.2,2018
VILAS,WI,55125,42.3,2018
WALWORTH,WI,55127,45.4,2018
WASHBURN,WI,55129,22.5,2018
WASHINGTON,WI,55131,48.2,2018
WAUKESHA,WI,55133,51.1,2018
WAUPACA,WI,55135,63.4,2018
WAUSHARA,WI,55137,25.4,2018
WINNEBAGO,WI,55139,44.6,2018
WOOD,WI,55141,52.5,2018
BARBOUR,WV,54001,48.3,2018
BERKELEY,WV,54003,72.7,2018
BOONE,WV,54005,105.0,2018
BRAXTON,WV,54007,70.3,2018
BROOKE,WV,54009,65.6,2018
CABELL,WV,54011,92.1,2018
CALHOUN,WV,54013,31.3,2018
CLAY,WV,54015,45.2,2018
DODDRIDGE,WV,54017,23.1,2018
FAYETTE,WV,54019,53.7,2018
GILMER,WV,54021,41.8,2018
GRANT,WV,54023,67.3,2018
GREENBRIER,WV,54025,77.7,2018
HAMPSHIRE,WV,54027,53.7,2018
HANCOCK,WV,54029,111.1,2018
HARDY,WV,54031,62.5,2018
HARRISON,WV,54033,79.9,2018
JACKSON,WV,54035,57.7,2018
JEFFERSON,WV,54037,64.0,2018
KANAWHA,WV,54039,79.0,2018
LEWIS,WV,54041,66.7,2018
LINCOLN,WV,54043,33.9,2018
LOGAN,WV,54045,146.4,2018
MARION,WV,54049,59.7,2018
MARSHALL,WV,54051,91.2,2018
MASON,WV,54053,57.3,2018
MCDOWELL,WV,54047,73.2,2018
MERCER,WV,54055,85.5,2018
MINERAL,WV,54057,69.5,2018
MINGO,WV,54059,48.7,2018
MONONGALIA,WV,54061,38.0,2018
MONROE,WV,54063,18.3,2018
MORGAN,WV,54065,61.7,2018
NICHOLAS,WV,54067,106.6,2018
OHIO,WV,54069,55.6,2018
PENDLETON,WV,54071,42.7,2018
PLEASANTS,WV,54073,80.3,2018
POCAHONTAS,WV,54075,46.4,2018
PRESTON,WV,54077,51.1,2018
PUTNAM,WV,54079,66.6,2018
RALEIGH,WV,54081,66.3,2018
RANDOLPH,WV,54083,75.3,2018
RITCHIE,WV,54085,50.6,2018
ROANE,WV,54087,73.9,2018
SUMMERS,WV,54089,79.6,2018
TAYLOR,WV,54091,51.6,2018
TUCKER,WV,54093,42.4,2018
TYLER,WV,54095,38.2,2018
UPSHUR,WV,54097,43.5,2018
WAYNE,WV,54099,60.3,2018
WEBSTER,WV,54101,49.0,2018
WETZEL,WV,54103,66.3,2018
WIRT,WV,54105,33.3,2018
WOOD,WV,54107,76.4,2018
WYOMING,WV,54109,88.9,2018
ALBANY,WY,56001,37.5,2018
BIG HORN,WY,56003,46.8,2018
CAMPBELL,WY,56005,56.0,2018
CARBON,WY,56007,50.2,2018
CONVERSE,WY,56009,58.0,2018
FREMONT,WY,56013,59.2,2018
GOSHEN,WY,56015,29.5,2018
HOT SPRINGS,WY,56017,97.1,2018
JOHNSON,WY,56019,55.2,2018
LARAMIE,WY,56021,56.0,2018
LINCOLN,WY,56023,58.5,2018
NATRONA,WY,56025,64.6,2018
NIOBRARA,WY,56027,0.0,2018
PARK,WY,56029,72.8,2018
PLATTE,WY,56031,51.6,2018
SHERIDAN,WY,56033,37.2,2018
SUBLETTE,WY,56035,55.8,2018
SWEETWATER,WY,56037,79.2,2018
TETON,WY,56039,42.6,2018
UINTA,WY,56041,95.9,2018
WASHAKIE,WY,56043,75.0,2018
WESTON,WY,56045,35.2,2018
